time,coin,stablecoin,value
2020-12-25,ADA,0,0.0276812009591967
2020-12-26,ADA,0,0.0038022859497386
2020-12-27,ADA,0,-0.0249772830861972
2020-12-28,ADA,0,0.133936628274596
2020-12-29,ADA,0,0.0779899018162771
2020-12-30,ADA,0,-0.0357848596098262
2020-12-31,ADA,0,-0.01203515620815
2021-01-01,ADA,0,-0.034717932496205
2021-01-02,ADA,0,0.0096399952650601
2021-01-03,ADA,0,0.151567533411879
2021-01-04,ADA,0,0.0908030801327022
2021-01-05,ADA,0,0.139107050890382
2021-01-06,ADA,0,0.25298291355535
2021-01-07,ADA,0,-0.111296042770607
2021-01-08,ADA,0,0.0172418064345061
2021-01-09,ADA,0,0.0859424298007248
2021-01-10,ADA,0,-0.0935319729131241
2021-01-11,ADA,0,-0.0896949709956432
2021-01-12,ADA,0,0.0453335413015212
2021-01-13,ADA,0,0.0798296016524849
2021-01-14,ADA,0,-0.0057710964919219
2021-01-15,ADA,0,-0.0270506961515611
2021-01-16,ADA,0,0.148328867146714
2021-01-17,ADA,0,0.0830397675501251
2021-01-18,ADA,0,-0.0281783662289666
2021-01-19,ADA,0,-0.0075778441105697
2021-01-20,ADA,0,0.0207024465943896
2021-01-21,ADA,0,-0.198632681376743
2021-01-22,ADA,0,0.126365238178758
2021-01-23,ADA,0,-0.0112182968538015
2021-01-24,ADA,0,0.023160434798106
2021-01-25,ADA,0,-0.0307098318612808
2021-01-26,ADA,0,0.0040721405893089
2021-01-27,ADA,0,-0.0978096724881821
2021-01-28,ADA,0,0.0980999061282983
2021-01-29,ADA,0,0.0098181556806449
2021-01-30,ADA,0,0.0441268722184691
2021-01-31,ADA,0,-0.0516261862803653
2021-02-01,ADA,0,0.167543920577932
2021-02-02,ADA,0,0.0410178617229183
2021-02-03,ADA,0,0.0403048220317069
2021-02-04,ADA,0,-0.0056593246689015
2021-02-05,ADA,0,0.20513907935252
2021-02-06,ADA,0,0.1602604639235
2021-02-07,ADA,0,0.0452733202903922
2021-02-08,ADA,0,0.0202689502303047
2021-02-09,ADA,0,0.041612475752094
2021-02-10,ADA,0,0.286903394041997
2021-02-11,ADA,0,-0.0130441280707878
2021-02-12,ADA,0,-0.0020468630900737
2021-02-13,ADA,0,-0.0147748478016055
2021-02-14,ADA,0,-0.078165662647401
2021-02-15,ADA,0,0.0181769882944204
2021-02-16,ADA,0,0.0123579559671565
2021-02-17,ADA,0,0.0238187510754137
2021-02-18,ADA,0,0.0245777897864365
2021-02-19,ADA,0,0.0133617761120448
2021-02-20,ADA,0,0.187666765122399
2021-02-21,ADA,0,-0.0153225169923646
2021-02-22,ADA,0,-0.0018181823190586
2021-02-23,ADA,0,-0.131687260207501
2021-02-24,ADA,0,0.0860767489554486
2021-02-25,ADA,0,0.022599831917241
2021-02-26,ADA,0,0.145332987424614
2021-02-27,ADA,0,0.0601508902238905
2021-02-28,ADA,0,-0.0030372081054496
2021-03-01,ADA,0,-0.0137827602954211
2021-03-02,ADA,0,-0.0571130613376164
2021-03-03,ADA,0,-0.0081967672041785
2021-03-04,ADA,0,-0.0876850044991041
2021-03-05,ADA,0,0.0413609328248654
2021-03-06,ADA,0,-0.0270877199507483
2021-03-07,ADA,0,0.0017699119664584
2021-03-08,ADA,0,-0.0106667678041952
2021-03-09,ADA,0,0.0690524467155891
2021-03-10,ADA,0,-0.056618893999508
2021-03-11,ADA,0,-0.0070859463894858
2021-03-12,ADA,0,-0.0862843685970124
2021-03-13,ADA,0,0.0647201906811719
2021-03-14,ADA,0,-0.0436264076213723
2021-03-15,ADA,0,-0.0220632450843478
2021-03-16,ADA,0,0.192614346279387
2021-03-17,ADA,0,0.097489621277257
2021-03-18,ADA,0,-0.11280632538915
2021-03-19,ADA,0,0.0514557507277664
2021-03-20,ADA,0,-0.0761280548322364
2021-03-21,ADA,0,-0.0117254274703155
2021-03-22,ADA,0,-0.0743024048968082
2021-03-23,ADA,0,0.0117276941813593
2021-03-24,ADA,0,-0.042130772869174
2021-03-25,ADA,0,0.025855549250185
2021-03-26,ADA,0,0.102164895499419
2021-03-27,ADA,0,-0.0317752485143721
2021-03-28,ADA,0,0.0109844788452983
2021-03-29,ADA,0,0.0108651298691039
2021-03-30,ADA,0,0.0082781929693712
2021-03-31,ADA,0,-0.0174640613187552
2021-04-01,ADA,0,-0.006734032181344
2021-04-02,ADA,0,0.0058947539113492
