coinfrom,cointo,corr
ONT,ATOM,0.5535636108703081
SNX,ATOM,0.49196880761471395
THETA,ATOM,0.34158118062562737
TRX,ATOM,0.30662597238611145
TUSD,ATOM,-0.061940718595004315
UMA,ATOM,0.3441102361644326
USDC,ATOM,-0.09602201758123176
USDT,ATOM,0.13340088972209524
VET,ATOM,0.5672859239000525
WBTC,ATOM,0.37336070777678665
XEM,ATOM,0.29766183047855105
XLM,ATOM,0.4638761121681338
XMR,ATOM,0.41608072568488574
XRP,ATOM,0.29469979074972985
XTZ,ATOM,0.6653126893016161
YFI,ATOM,0.34929691504570076
ZEC,ATOM,0.5888538337197035
ADA,BCH,0.4876909883145132
ALGO,BCH,0.5353263185416621
ATOM,BCH,0.46356567705118507
BCH,BCH,1.0
BNB,BCH,0.4028734047062976
BSV,BCH,0.8584353906165704
BTC,BCH,0.6123060876989074
BUSD,BCH,-0.08600384986528035
CRO,BCH,0.4104016640888938
CTC,BCH,0.019866247819031842
DAI,BCH,0.0010419389896994466
DASH,BCH,0.71080346150446
DOT,BCH,0.3872467092488282
EOS,BCH,0.7793237320081008
ETC,BCH,0.6427679993397237
ETH,BCH,0.705502860743988
FTT,BCH,0.5636605184794179
HEDG,BCH,0.225956057460201
HEX,BCH,0.044929450870644226
HT,BCH,0.3928276415891802
LEO,BCH,0.10976614325039837
LINK,BCH,0.653794553917583
LTC,BCH,0.7631394214372373
MIOTA,BCH,0.7051244309458233
MKR,BCH,0.4849411709289287
NEO,BCH,0.6596363642108037
OKB,BCH,0.2747947467426008
OMG,BCH,0.6225224611080493
ONT,BCH,0.701453187368551
SNX,BCH,0.4358698591704607
THETA,BCH,0.40351719959859916
TRX,BCH,0.49410786781934135
TUSD,BCH,0.018657415588780656
UMA,BCH,0.3553603948319799
USDC,BCH,-0.034352487709518584
USDT,BCH,0.023748177646175306
VET,BCH,0.6662941821341086
WBTC,BCH,0.568707696465857
XEM,BCH,0.2294516448992552
XLM,BCH,0.5525551572015845
XMR,BCH,0.5373577959716199
XRP,BCH,0.46353839265250135
XTZ,BCH,0.7001485939959935
YFI,BCH,0.3819051819803084
ZEC,BCH,0.7021848585827507
ADA,BNB,0.40201330210885455
ALGO,BNB,0.4268355632225475
ATOM,BNB,0.3702498193239773
BCH,BNB,0.4028734047062976
BNB,BNB,1.0
BSV,BNB,0.3569663391457177
BTC,BNB,0.47841870024474664
BUSD,BNB,-0.03368457336544193
CRO,BNB,0.38981547600565464
CTC,BNB,0.024646298635494435
DAI,BNB,-0.011804735907007325
DASH,BNB,0.44576544511535016
DOT,BNB,0.3370118739428488
EOS,BNB,0.47269833760999436
ETC,BNB,0.27306146167192424
ETH,BNB,0.45919954045872036
FTT,BNB,0.7732709564498502
HEDG,BNB,0.11548108036701409
HEX,BNB,0.07375653216533365
HT,BNB,0.8021905476088615
LEO,BNB,0.2653478599875254
LINK,BNB,0.4631256109329241
LTC,BNB,0.44392593353401444
MIOTA,BNB,0.4772222602842614
MKR,BNB,0.3285754777251584
